year,name,hud_code,pha_entity,address,city,zip,latitude,longitude,total_units,pct_occupied,people_per_unit,people_total,pct_reported,months_since_report,pct_movein,months_from_movein,months_waiting,hh_income,rent_per_month,pct_lt30_median,pct_female_head,pct_female_head_child,pct_disabled_all,pct_age62plus,pct_minority,pct_black_nonhsp,pct_hispanic,pct_overhoused
2015,WILLIAMSBURG,NY005000020,NY New York NY005000020 WILLIAMSBURG,125 Ten Eyck St,Brooklyn,11206,40.710167,,1620.0,99.0,1.9,3102.0,100.0,4.0,3.0,205.0,,22796.0,470.0,65.0,79.0,24.0,29.0,46.0,95.0,26.0,68.0,14.0
2015,RED HOOK I (EAST),NY005000040,NY New York NY005000040 RED HOOK I (EAST),624 Clinton St,Brooklyn,11231,40.673897,,1404.0,99.0,2.2,2974.0,100.0,4.0,3.0,190.0,,23055.0,497.0,63.0,77.0,33.0,23.0,33.0,97.0,45.0,48.0,14.0
2015,INGERSOLL,NY005000140,NY New York NY005000140 INGERSOLL,25 Monument Walk,Brooklyn,11205,40.694919,,1803.0,94.0,2.5,4296.0,100.0,4.0,9.0,177.0,,23763.0,530.0,62.0,72.0,32.0,15.0,29.0,97.0,55.0,25.0,27.0
2015,BROWNSVILLE,NY005000160,NY New York NY005000160 BROWNSVILLE,275 Blake Ave,Brooklyn,11212,40.666355,,1322.0,99.0,2.5,3132.0,98.0,5.0,2.0,230.0,,20688.0,471.0,69.0,82.0,37.0,19.0,27.0,100.0,71.0,28.0,31.0
2015,J.W. JOHNSON,NY005000170,NY New York NY005000170 J.W. JOHNSON,1829 Lexington Ave,New York,10029,40.796524,,1297.0,100.0,2.4,3158.0,100.0,5.0,3.0,230.0,,24898.0,541.0,60.0,78.0,30.0,19.0,37.0,98.0,35.0,56.0,31.0
2015,LINCOLN,NY005000200,NY New York NY005000200 LINCOLN,60 E 135th St,New York,10037,40.811834,,1281.0,99.0,2.4,2987.0,100.0,6.0,3.0,259.0,,21806.0,489.0,67.0,83.0,36.0,20.0,30.0,99.0,63.0,34.0,36.0
2015,MARCY,NY005000210,NY New York NY005000210 MARCY,542 Marcy Ave,Brooklyn,11206,40.696552,,1706.0,100.0,2.6,4361.0,100.0,5.0,3.0,246.0,,23277.0,515.0,63.0,84.0,35.0,19.0,32.0,98.0,45.0,52.0,29.0
2015,WALD,NY005000230,NY New York NY005000230 WALD,30 Avenue D,New York,10009,40.72126,,1859.0,99.0,2.2,4092.0,100.0,4.0,2.0,270.0,,23129.0,502.0,65.0,70.0,23.0,25.0,43.0,97.0,20.0,64.0,36.0
2015,LESTER W. PATTERSON,NY005000240,NY New York NY005000240 LESTER W. PATTERSON,281 E 143rd St,Bronx,10451,40.814665,,1787.0,100.0,2.4,4323.0,100.0,5.0,2.0,233.0,,20594.0,471.0,69.0,83.0,37.0,21.0,31.0,99.0,34.0,65.0,33.0
2015,GOWANUS,NY005000250,NY New York NY005000250 GOWANUS,417 Baltic St,Brooklyn,11217,40.683646,,1134.0,100.0,2.4,2746.0,100.0,4.0,2.0,265.0,,24870.0,536.0,60.0,80.0,30.0,23.0,38.0,98.0,49.0,44.0,33.0
2015,GOVERNOR SMITH,NY005000270,NY New York NY005000270 GOVERNOR SMITH,180 South St,New York,10038,40.709166,,1932.0,99.0,2.2,4214.0,100.0,4.0,2.0,290.0,,24664.0,523.0,65.0,64.0,17.0,20.0,53.0,97.0,19.0,37.0,33.0
2015,FARRAGUT,NY005000290,NY New York NY005000290 FARRAGUT,237 Nassau St,Brooklyn,11201,40.698484,,1389.0,100.0,2.4,3261.0,100.0,5.0,3.0,259.0,,22946.0,503.0,65.0,78.0,30.0,21.0,34.0,99.0,60.0,29.0,32.0
2015,WOODSIDE,NY005000330,NY New York NY005000330 WOODSIDE,5030 Broadway,Queens,11377,40.754535,,1356.0,99.0,2.2,2927.0,99.0,4.0,2.0,285.0,,26570.0,556.0,56.0,74.0,26.0,22.0,42.0,92.0,35.0,46.0,37.0
2015,RALPH J. RANGEL,NY005000370,NY New York NY005000370 RALPH J. RANGEL,159-44 Harlem River Dr,New York,10039,40.8263,,983.0,99.0,2.3,2246.0,100.0,4.0,4.0,238.0,,25332.0,539.0,59.0,82.0,36.0,18.0,30.0,99.0,60.0,38.0,28.0
2015,ST NICHOLAS,NY005000380,NY New York NY005000380 ST NICHOLAS,230 W 129th St,New York,10027,40.811586,,1522.0,99.0,2.4,3492.0,98.0,5.0,4.0,256.0,,22649.0,497.0,63.0,79.0,35.0,19.0,31.0,96.0,63.0,32.0,29.0
2015,DYCKMAN,NY005000410,NY New York NY005000410 DYCKMAN,3716 10th Ave,New York,10034,40.859781,,1167.0,99.0,2.0,2316.0,100.0,5.0,3.0,240.0,,24464.0,514.0,61.0,78.0,25.0,22.0,43.0,97.0,33.0,64.0,27.0
2015,GLENWOOD,NY005000440,NY New York NY005000440 GLENWOOD,937 E 56th St,Brooklyn,11234,40.633602,,1186.0,99.0,2.2,2573.0,100.0,4.0,3.0,187.0,,25799.0,536.0,59.0,83.0,36.0,18.0,30.0,94.0,81.0,13.0,18.0
2015,GEN. CHARLES W. BERRY,NY005000520,NY New York NY005000520 GEN. CHARLES W. BERRY,1754 Richmond Rd,Staten Island,10306,40.587468,,1010.0,98.0,2.0,1957.0,100.0,5.0,4.0,171.0,,24057.0,501.0,61.0,81.0,31.0,27.0,31.0,74.0,41.0,31.0,19.0
2015,POMONOK,NY005000530,NY New York NY005000530 POMONOK,6733 Kissena Blvd,Queens,11367,40.735319,,2070.0,99.0,2.1,4266.0,100.0,5.0,3.0,190.0,,25021.0,518.0,60.0,80.0,30.0,22.0,34.0,84.0,50.0,27.0,20.0
2015,REDFERN,NY005000550,NY New York NY005000550 REDFERN,1302 Redfern Ave,Queens,11691,40.610589,,603.0,93.0,2.7,1489.0,100.0,5.0,2.0,208.0,,20121.0,462.0,70.0,84.0,43.0,19.0,23.0,98.0,69.0,27.0,27.0
2015,BREUKELEN,NY005000560,NY New York NY005000560 BREUKELEN,757 E 103rd St,Brooklyn,11236,40.647572,,1595.0,99.0,2.3,3515.0,98.0,5.0,3.0,245.0,,24387.0,530.0,59.0,84.0,35.0,18.0,32.0,99.0,78.0,20.0,34.0
2015,EDENWALD,NY005000570,NY New York NY005000570 EDENWALD,1151 E 229th St,Bronx,10466,40.886518,,2033.0,99.0,2.5,4931.0,99.0,4.0,4.0,221.0,,24310.0,540.0,61.0,83.0,38.0,20.0,27.0,99.0,46.0,52.0,32.0
2015,CARVER,NY005000580,NY New York NY005000580 CARVER,65 E 99th St,New York,10029,40.788769,,1247.0,99.0,2.1,2639.0,100.0,4.0,3.0,264.0,,24505.0,533.0,60.0,77.0,27.0,24.0,37.0,97.0,34.0,58.0,36.0
2015,FOREST,NY005000590,NY New York NY005000590 FOREST,750 E 163rd St,Bronx,10456,40.822649,,2031.0,99.0,2.4,4749.0,99.0,5.0,3.0,226.0,,20411.0,465.0,69.0,81.0,34.0,20.0,33.0,99.0,37.0,62.0,28.0
2015,VAN DYKE I,NY005000610,NY New York NY005000610 VAN DYKE I,414 Sutter Ave,Brooklyn,11212,40.667951,,1598.0,99.0,2.5,3964.0,100.0,4.0,5.0,200.0,,21639.0,480.0,66.0,85.0,42.0,18.0,23.0,99.0,70.0,29.0,24.0
