dev_name,ref_units,conv_date,status,year,hud_name,hud_code,hud_units,pct_occupied,unit_delta,unit_ok,match_score,zip,address
1010 EAST 178TH STREET,220,,Under Construction,2015,1010 E. 178TH ST.,NY005011330,218,100.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2016,1010 E. 178TH ST.,NY005011330,218,100.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2017,1010 E. 178TH ST.,NY005011330,218,99.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2018,1010 E. 178TH ST.,NY005011330,218,98.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2019,1010 E. 178TH ST.,NY005011330,218,97.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2020,1010 E. 178TH ST.,NY005011330,218,100.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2021,1010 E. 178TH ST.,NY005011330,218,98.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2022,1010 E. 178TH ST.,NY005011330,218,98.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2023,1010 E. 178TH ST.,NY005011330,218,94.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2024,1010 E. 178TH ST.,NY005011330,218,92.0,-2,True,100.0,10460,1010 E 178th St
BAY VIEW,1610,2025-12-23,Under Construction,2015,BAY VIEW,NY005020920,1303,99.0,-307,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2016,BAY VIEW,NY005020920,1303,97.0,-307,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2017,BAY VIEW,NY005020920,1303,97.0,-307,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2018,BAY VIEW,NY005020920,1269,99.0,-341,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2019,BAY VIEW,NY005020920,1269,99.0,-341,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2020,BAY VIEW,NY005020920,1269,99.0,-341,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2021,BAY VIEW,NY005020920,1269,98.0,-341,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2022,BAY VIEW,NY005020920,1268,97.0,-342,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2023,BAY VIEW,NY005020920,1268,96.0,-342,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2024,BAY VIEW,NY005020920,1268,94.0,-342,True,100.0,11236,5995 Shore Pkwy
BAYCHESTER,441,,Construction Complete,2015,BAYCHESTER,NY005021260,342,92.0,-99,True,100.0,10466,1900 Schieffelin Ave
BAYCHESTER,441,,Construction Complete,2016,BAYCHESTER,NY005021260,342,88.0,-99,True,100.0,10466,1900 Schieffelin Ave
BAYCHESTER,441,,Construction Complete,2017,BAYCHESTER,NY005021260,291,52.0,-150,True,100.0,10466,1870 Schieffelin Ave
BELMONT-SUTTER AREA,72,,Under Construction,2015,BELMONT SUTTER AREA,NY005010460,72,99.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2016,BELMONT SUTTER AREA,NY005010460,72,99.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2017,BELMONT SUTTER AREA,NY005010460,72,99.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2018,BELMONT SUTTER AREA,NY005010460,72,100.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2019,BELMONT SUTTER AREA,NY005010460,72,100.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2020,BELMONT SUTTER AREA,NY005010460,72,99.0,0,True,100.0,11207,455 Barbey St
BETANCES I,309,,Construction Complete,2015,DR. RAMON E. BETANCES I,NY005012110,917,98.0,608,False,100.0,10454,400 Brook Ave
BETANCES I,309,,Construction Complete,2016,DR. RAMON E. BETANCES I,NY005012110,917,97.0,608,False,100.0,10454,400 Brook Ave
BETANCES I,309,,Construction Complete,2017,DR. RAMON E. BETANCES I,NY005012110,917,97.0,608,False,100.0,10454,400 Brook Ave
BOSTON SECOR,538,,Under Construction,2015,BOSTON-SECOR,NY005011380,538,99.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2016,BOSTON-SECOR,NY005011380,538,100.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2017,BOSTON-SECOR,NY005011380,538,99.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2018,BOSTON-SECOR,NY005011380,538,99.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2019,BOSTON-SECOR,NY005011380,538,98.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2020,BOSTON-SECOR,NY005011380,538,99.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2021,BOSTON-SECOR,NY005011380,538,97.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2022,BOSTON-SECOR,NY005011380,538,97.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2023,BOSTON-SECOR,NY005011380,538,95.0,0,True,100.0,10475,3555 Bivona St
BUSHWICK II (GROUPS A & C),300,,Construction Complete,2015,HOPE GARDENS,NY005012470,1314,100.0,1014,False,100.0,11221,330 Wilson Ave
BUSHWICK II (GROUPS A & C),300,,Construction Complete,2016,HOPE GARDENS,NY005012470,1314,99.0,1014,False,100.0,11221,330 Wilson Ave
BUSHWICK II (GROUPS A & C),300,,Construction Complete,2017,HOPE GARDENS,NY005012470,1314,98.0,1014,False,100.0,11221,330 Wilson Ave
BUSHWICK II (GROUPS A & C),300,,Construction Complete,2018,HOPE GARDENS,NY005012470,1314,99.0,1014,False,100.0,11221,330 Wilson Ave
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2015,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2016,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2017,PEDRO A. CAMPOS PLAZA II,NY005012570,224,99.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2018,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2019,PEDRO A. CAMPOS PLAZA II,NY005012570,224,99.0,0,True,83.3,10009,612 E 14th St
