year,hud_name,code,total_units,pct_occupied,zip,address
2015,WILLIAMSBURG,NY005000020,1620,99.0,11206,125 Ten Eyck St
2015,RED HOOK I (EAST),NY005000040,1404,99.0,11231,624 Clinton St
2015,INGERSOLL,NY005000140,1803,94.0,11205,25 Monument Walk
2015,BROWNSVILLE,NY005000160,1322,99.0,11212,275 Blake Ave
2015,J.W. JOHNSON,NY005000170,1297,100.0,10029,1829 Lexington Ave
2015,LINCOLN,NY005000200,1281,99.0,10037,60 E 135th St
2015,MARCY,NY005000210,1706,100.0,11206,542 Marcy Ave
2015,WALD,NY005000230,1859,99.0,10009,30 Avenue D
2015,LESTER W. PATTERSON,NY005000240,1787,100.0,10451,281 E 143rd St
2015,GOWANUS,NY005000250,1134,100.0,11217,417 Baltic St
2015,GOVERNOR SMITH,NY005000270,1932,99.0,10038,180 South St
2015,FARRAGUT,NY005000290,1389,100.0,11201,237 Nassau St
2015,WOODSIDE,NY005000330,1356,99.0,11377,5030 Broadway
2015,RALPH J. RANGEL,NY005000370,983,99.0,10039,159-44 Harlem River Dr
2015,ST NICHOLAS,NY005000380,1522,99.0,10027,230 W 129th St
2015,DYCKMAN,NY005000410,1167,99.0,10034,3716 10th Ave
2015,GLENWOOD,NY005000440,1186,99.0,11234,937 E 56th St
2015,GEN. CHARLES W. BERRY,NY005000520,1010,98.0,10306,1754 Richmond Rd
2015,POMONOK,NY005000530,2070,99.0,11367,6733 Kissena Blvd
2015,REDFERN,NY005000550,603,93.0,11691,1302 Redfern Ave
2015,BREUKELEN,NY005000560,1595,99.0,11236,757 E 103rd St
2015,EDENWALD,NY005000570,2033,99.0,10466,1151 E 229th St
2015,CARVER,NY005000580,1247,99.0,10029,65 E 99th St
2015,FOREST,NY005000590,2031,99.0,10456,750 E 163rd St
2015,VAN DYKE I,NY005000610,1598,99.0,11212,414 Sutter Ave
2015,BREVOORT,NY005000650,894,99.0,11233,1839 Fulton St
2015,COOPER PARK,NY005000690,699,99.0,11211,401 Morgan Ave
2015,SOUNDVIEW,NY005000710,1257,99.0,10473,1704 Seward Ave
2015,HOWARD,NY005000720,1812,100.0,11212,275 Livonia Ave
2015,MARINERS HARBOR,NY005000770,606,99.0,10303,20 Roxbury St
2015,HIGHBRIDGE GARDENS,NY005000780,698,99.0,10452,1075 University Ave
2015,RED HOOK II,NY005000790,1461,99.0,11231,82 Dwight St
2015,GENERAL GRANT,NY005000870,1940,99.0,10027,3170 Broadway
2015,JAMES MONROE,NY005000880,1101,99.0,10473,1785 Story Ave
2015,LOUIS HEATON PINK,NY005000890,1500,99.0,11208,1209 Loring Ave
2015,HERBERT H. LEHMAN VILLAGE,NY005001010,616,99.0,10029,80 E 110th St
2015,BUTLER,NY005001130,1476,99.0,10456,1348 Webster Ave
2015,JOHN ADAMS,NY005001180,925,99.0,10455,680 Tinton Ave
2015,MOTT HAVEN,NY005001210,993,99.0,10454,383 E 141st St Apt
2015,LAFAYETTE,NY005001220,881,99.0,11205,456 Dekalb Ave
2015,DE WITT CLINTON,NY005001230,748,98.0,10029,1760 Lexington Ave
2015,ROBERT FULTON,NY005001360,944,99.0,10011,418 W 17th St
2015,POLO GROUNDS TOWERS,NY005001490,1613,98.0,10039,2931 8th Ave
2015,BCH.41 ST/BCH. CHANNEL DR,NY005001650,712,99.0,11691,438 Beach 40th St
2015,FOREST HILLS CO-OP,NY005002000,430,99.0,11375,10853 62nd Dr
2015,WHITMAN,NY005005140,1632,99.0,11205,117 N Oxford Walk
2015,HARLEM RIVER,NY005010030,1261,96.0,10032,1945 Amsterdam Ave
2015,VLADECK,NY005010060,1762,98.0,10002,622 Water St
2015,SOUTH JAMAICA II,NY005010080,1038,98.0,11433,10616 159th St
2015,EAST RIVER,NY005010090,2072,98.0,10029,2029 2nd Ave
2015,KINGSBOROUGH,NY005010100,1336,99.0,11233,447 Kingsborough 4th Walk
2015,WEST BRIGHTON I & II,NY005010130,633,89.0,10310,820 Henderson Ave
2015,JACOB RIIS,NY005010180,1762,99.0,10009,1141 FDR Dr
2015,AMSTERDAM,NY005010220,1457,99.0,10019,530 W 55th St
