bbl,executed_date
3050850090,2017-01-09
3050840097,2017-01-13
3050840097,2017-01-13
3048530086,2017-01-18
1019840001,2017-01-24
2049050001,2017-02-02
2049050001,2017-02-02
3050840097,2017-02-03
2029310070,2017-02-03
1020370011,2017-02-06
5001960001,2017-02-14
2049050001,2017-02-16
2035930001,2017-02-23
3050840061,2017-02-24
3050840061,2017-02-24
1019840001,2017-02-24
3043690001,2017-02-24
2045810001,2017-02-28
4160010002,2017-03-06
3048710052,2017-03-09
3083290225,2017-03-17
3048530086,2017-03-20
5001960001,2017-03-23
1020680046,2017-03-31
4160020001,2017-04-07
2049050001,2017-04-13
5001960001,2017-04-18
4160010002,2017-04-19
1019840001,2017-04-20
3083290225,2017-04-21
3050840061,2017-04-24
4160020001,2017-04-27
3050850090,2017-04-27
3083290225,2017-04-28
4160010002,2017-05-01
4160020001,2017-05-08
4160020001,2017-05-08
4160010002,2017-05-10
5001960001,2017-05-16
3048530086,2017-05-22
2035930001,2017-05-22
2035980017,2017-05-24
3048530093,2017-05-26
4160010002,2017-05-31
4160010002,2017-05-31
4160010002,2017-05-31
4160010002,2017-06-12
4160010002,2017-06-12
3050840097,2017-06-15
3050840097,2017-06-15
4160010002,2017-06-19
3050850083,2017-06-19
4160020001,2017-06-19
1019840001,2017-06-22
4160010002,2017-06-26
4160010002,2017-06-26
4160010002,2017-06-26
4160010002,2017-06-30
1020370011,2017-07-07
2049050001,2017-07-14
2049050001,2017-07-14
2049050001,2017-07-14
4160020001,2017-07-17
4160020001,2017-07-17
2049050001,2017-07-21
2049050001,2017-07-21
3050840061,2017-07-21
1020680046,2017-07-24
3048680034,2017-07-26
4160010002,2017-07-31
1020370011,2017-07-31
2031300100,2017-08-15
2052630040,2017-08-16
5001960001,2017-08-17
1020130024,2017-08-18
4160020001,2017-08-21
2049050001,2017-08-25
2049050001,2017-08-25
4160010002,2017-08-29
4160020001,2017-08-29
3033340001,2017-09-01
4160010002,2017-09-08
4160010002,2017-09-08
4160020001,2017-09-08
4160010002,2017-09-08
3050840097,2017-09-22
4160010002,2017-09-25
4160020001,2017-09-25
4160020001,2017-09-25
4160020001,2017-09-29
4160020001,2017-10-16
2049050001,2017-10-17
3030720001,2017-10-17
2049050360,2017-10-25
4160020001,2017-10-26
4160020001,2017-10-26
2031300100,2017-10-27
3050840097,2017-10-30
2022690100,2017-11-03
1020370011,2017-11-06
3050850083,2017-11-06
1021070059,2017-11-06
4160010002,2017-11-06
2049050360,2017-11-08
3050840061,2017-11-15
5001960001,2017-11-15
1020130024,2017-11-17
2049050001,2017-11-29
4160020001,2017-12-04
2049050001,2017-12-06
2049050001,2017-12-07
2049050001,2017-12-07
2049050001,2017-12-13
4160020001,2017-12-13
4160010002,2017-12-13
2049050001,2017-12-13
2049050001,2017-12-14
4160010002,2017-12-19
4160010002,2018-01-10
4160020001,2018-01-10
4160010002,2018-01-10
3050840061,2018-01-11
3050850090,2018-01-16
3050850090,2018-01-16
4160010002,2018-01-17
4160020001,2018-01-17
2049050001,2018-01-18
2049050001,2018-01-18
2049050001,2018-01-19
2026200036,2018-01-23
2045810001,2018-01-24
2045810001,2018-01-24
4160020001,2018-01-29
2049050001,2018-01-31
4160020001,2018-02-02
4160020001,2018-02-05
2049050001,2018-02-07
4160010002,2018-02-16
4160010002,2018-02-16
4160020001,2018-02-27
4160020001,2018-02-27
2049050360,2018-02-28
4160020001,2018-03-02
3050830071,2018-03-05
4160010002,2018-03-14
4160020001,2018-03-14
4160020001,2018-03-14
4160010002,2018-03-19
4160010002,2018-03-19
4160010002,2018-03-19
4160020001,2018-03-19
2049050001,2018-03-20
3030240001,2018-03-23
1020150005,2018-03-28
2049050001,2018-04-03
2049050001,2018-04-12
4160010002,2018-04-18
4160010002,2018-04-18
4160020001,2018-05-02
2049050001,2018-05-04
3048710052,2018-05-08
3048710052,2018-05-08
2052630040,2018-05-14
2049050001,2018-05-16
3032940016,2018-05-16
2049050001,2018-05-16
3004010001,2018-05-18
4160020001,2018-05-23
1020160060,2018-06-11
3083290225,2018-06-15
3083290225,2018-06-15
1019840001,2018-06-18
4160010002,2018-06-22
4160010002,2018-06-22
4160020001,2018-06-22
5001960001,2018-06-29
1021070059,2018-07-12
1021070059,2018-07-12
4160010002,2018-07-16
1020110022,2018-07-17
5001960001,2018-07-18
5001960001,2018-07-18
1019840001,2018-07-27
2049050001,2018-08-02
2049050001,2018-08-02
3050850083,2018-08-06
2052630040,2018-08-13
3050840097,2018-08-14
3033300019,2018-08-15
2022690100,2018-08-17
2022690100,2018-08-17
4160020001,2018-08-20
4160010002,2018-08-20
2045810001,2018-08-23
1019840001,2018-08-27
3030270001,2018-08-30
3048680034,2018-09-05
3050840097,2018-09-10
3050840097,2018-09-10
4160020001,2018-09-17
1020150005,2018-09-17
2049050001,2018-09-19
3083290225,2018-10-05
2049050001,2018-10-11
4160010002,2018-10-12
4160020001,2018-10-15
4160020001,2018-10-22
2052630040,2018-10-22
2049050001,2018-10-24
3015290001,2018-10-26
2052630040,2018-10-29
4160010002,2018-10-31
3048530086,2018-11-07
4160010002,2018-11-08
4160020001,2018-11-14
2049050360,2018-11-29
2049050360,2018-12-13
4160020001,2019-01-14
2045810001,2019-01-16
2045810001,2019-01-16
4160020001,2019-01-18
4160020001,2019-01-25
4160010002,2019-01-25
4160020001,2019-01-25
3050840061,2019-01-30
3031700026,2019-02-06
2049050001,2019-02-06
2049050001,2019-02-06
2049050001,2019-02-06
2052630040,2019-02-11
1019840001,2019-02-21
2049050001,2019-03-01
3030260001,2019-03-05
3048710052,2019-03-06
2049050001,2019-03-08
4160010002,2019-03-11
4160020001,2019-03-13
3050840097,2019-03-15
3050840097,2019-03-15
3030240001,2019-03-20
4160020001,2019-03-20
4160020001,2019-03-20
3004010001,2019-03-20
4160010002,2019-03-20
3050840097,2019-03-25
3083290225,2019-03-29
4160020001,2019-04-03
2045810001,2019-04-10
4160020001,2019-04-10
2049050001,2019-04-11
2031300100,2019-04-16
1020680046,2019-04-22
1020370011,2019-04-25
3083290225,2019-04-26
2052630070,2019-04-26
2049050001,2019-05-01
1020130026,2019-05-02
1020110001,2019-05-02
3015280033,2019-05-06
4160010002,2019-05-08
4160020001,2019-05-10
4160010002,2019-05-13
2045810001,2019-05-23
4160020001,2019-05-29
3030270001,2019-05-30
5001960001,2019-05-31
3030270001,2019-06-05
4160020001,2019-06-07
2022690100,2019-06-13
2049050001,2019-06-13
4160020001,2019-06-14
5001960001,2019-06-28
5001960001,2019-06-28
5001960001,2019-06-28
4160010002,2019-07-01
4160010002,2019-07-01
3030270001,2019-07-02
3048530086,2019-07-10
4160010002,2019-07-12
4160020001,2019-07-12
1020090064,2019-07-15
2045810001,2019-07-16
2049050001,2019-07-17
3050840097,2019-07-24
3050830071,2019-07-29
3030250046,2019-07-31
3030250046,2019-07-31
3083290225,2019-08-02
3083290225,2019-08-02
3050840097,2019-08-05
2049050001,2019-08-13
2049050001,2019-08-13
