conversion_date,project_name,consolidation_name,development_name,total_units,total_repair_costs__20yr_pna_2023,status,developers,general_contractor,property_manager,social_service_provider,status_normalized
,Ocean Bay,-,OCEAN BAY APARTMENTS (BAYSIDE),1395,$317M*,"Construction
Complete","MDG Design + Construction LLC;
Wavecrest Group LLC",MDG Design + Construction LLC,Wavecrest Management Group LLC,,Construction Complete
,Twin Parks West,-,TWIN PARKS WEST (SITES 1 & 2),312,$46M*,"Construction
Complete",Gilbane Development Company,Apex Building Group,"Kraus Management, Inc.",,Construction Complete
,Betances,-,BETANCES I,309,$145M*,"Construction
Complete","MDG Design + Construction LLC;
Wavecrest Group LLC",MDG Design + Construction LLC,Wavecrest Management Group LLC,,Construction Complete
,Highbridge Franklin,-,FRANKLIN AVENUE I CONVENTIONAL,61,$38M*,"Construction
Complete",Gilbane Development Company,Apex Building Group,"Kraus Management, Inc.",,Construction Complete
,"Baychester/
Murphy",-,BAYCHESTER,441,$116M*,"Construction
Complete","Camber Property Group;
L+M Development Partners;
MBD Community Housing Corporation",L+M Builders Group,C+C Apartment Management LLC,,Construction Complete
,Hope Gardens,-,BUSHWICK II (GROUPS A & C),876,$280M*,"Construction
Complete",Pennrose Properties,Procida Construction,Wavecrest Management Group LLC,,Construction Complete
,"PACT Brooklyn
Bundle",-,572 WARREN STREET,200,$434M*,"Construction
Complete","The Arker Companies;
Omni New York LLC;
Dabar Development Partners; Bedford
Stuyvesant Restoration Corporation",Renewal Chateau JV LLC,"Reliant Realty Services LLC;
Progressive Management of NY LLC",,Construction Complete
,"PACT Manhattan
Bundle",Jefferson,335 EAST 111TH STREET,66,$383M*,"Construction
Complete","Monadnock Development LLC; Kalel
Companies; Lemor Development Group",Monadnock Development LLC,Wavecrest Management Group LLC,,Construction Complete
,Boulevard,Boulevard,BELMONT-SUTTER AREA,72,$483M*,Under Construction,"The Hudson Companies, Inc.;
People Restoring Communities;
Duvernay + Brooks LLC","Broadway Builders LLC;
Melcara Corp","Property Resources Corporation; Lisa
Management, Inc.",,Under Construction
,Linden,Linden,LINDEN,1922,$430M*,"Construction
Complete","Douglaston Development;
L+M Development Partners;
Dantes Partners;
SMJ Development Corp","L+M Builders Group;
Levine Builders",C+C Apartment Management LLC,,Construction Complete
,Williamsburg,Williamsburg,WILLIAMSBURG,1621,$493M*,"Construction
Complete","MDG Design + Construction LLC;
Wavecrest Group LLC",MDG Design + Construction LLC,Wavecrest Management Group LLC,,Construction Complete
,Harlem River,Harlem River,HARLEM RIVER,577,$236M*,Under Construction,"Settlement Housing Fund Inc; West
Harlem Group Assistance",L+M Builders Group,C+C Apartment Management LLC,,Under Construction
,"Audubon, Bethune
& Marshall",Harlem River,AUDUBON,557,$137.6M*,Under Construction,Dantes Partners,"Apex Building Group;
Pyramid ETC Companies",Faria Management,,Under Construction
,Edenwald,Edenwald,EDENWALD,2035,$783M*,Under Construction,"Camber Property Group;
Henge Development;
SAA | EVI",L+M Builders Group,C+C Apartment Management LLC,,Under Construction
,"Union Avenue
Consolidated",Forest,EAGLE AVENUE-EAST 163RD STREET,66,$247M*,Under Construction,"The Arker Companies;
Omni New York LLC;
Dabar Development Partners",Renewal Chateau JV LLC,Progressive Management of NY LLC,,Under Construction
,"Reid Apartments +
Park Rock
Consolidated",Reid Apartments,104-14 TAPSCOTT STREET,30,$636M*,Under Construction,"BRP Development Corporation;
Fairstead; Urbane",Fairstead,Fairstead,,Under Construction
